Tabelle: 61111-0011
Verbraucherpreisindex: Bundesländer, Monate;;
Verbraucherpreisindex für Deutschland;;
Verbraucherpreisindex (2020=100);;
;;Schleswig-Holstein
2012;Januar;-
;Februar;-
;März;-
;April;-
;Mai;-
;Juni;-
;Juli;-
;August;-
;September;-
;Oktober;-
;November;-
;Dezember;-
2013;Januar;-
;Februar;-
;März;-
;April;-
;Mai;-
;Juni;-
;Juli;-
;August;-
;September;-
;Oktober;-
;November;-
;Dezember;-
2014;Januar;-
;Februar;-
;März;-
;April;-
;Mai;-
;Juni;-
;Juli;-
;August;-
;September;-
;Oktober;-
;November;-
;Dezember;-
2015;Januar;93,4
;Februar;93,9
;März;94,5
;April;94,9
;Mai;95,2
;Juni;95,2
;Juli;95,6
;August;95,4
;September;95,1
;Oktober;95,1
;November;94,5
;Dezember;94,7
2016;Januar;93,9
;Februar;94,1
;März;94,8
;April;94,9
;Mai;95,3
;Juni;95,5
;Juli;95,8
;August;95,7
;September;95,6
;Oktober;95,8
;November;95,1
;Dezember;95,7
2017;Januar;95,2
;Februar;95,7
;März;96,0
;April;96,4
;Mai;96,3
;Juni;96,8
;Juli;97,2
;August;97,4
;September;97,3
;Oktober;97,1
;November;96,7
;Dezember;97,1
2018;Januar;96,5
;Februar;96,8
;März;97,2
;April;97,5
;Mai;98,3
;Juni;98,4
;Juli;99,0
;August;99,0
;September;99,0
;Oktober;99,1
;November;98,2
;Dezember;98,3
2019;Januar;97,5
;Februar;97,9
;März;98,3
;April;99,2
;Mai;99,5
;Juni;99,9
;Juli;100,4
;August;100,2
;September;100,0
;Oktober;100,1
;November;99,3
;Dezember;99,8
__________
© Statistisches Bundesamt (Destatis), 2024
Stand: 28.11.2024 / 13:23:39
