Land;Stadt;Kategorie;Merkmal;Jahr;Arbeitslose
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;1989;13602
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;1990;12077
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;1991;11136
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;1992;11081
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;1994;13806
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;1995;13481
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;1996;13999
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;1997;15123
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;1998;15265
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;1999;14116
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2000;12878
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2001;13000
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2002;13734
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2003;15757
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2004;16024
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2005;19803
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2006;17487
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2007;15234
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2008;13993
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2009;13443
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2010;13396
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2011;13694
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2012;12732
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2013;13070
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2014;13109
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2015;13022
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2016;12867
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2017;11939
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2018;10260
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2019;10009
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2020;11776
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2021;11097
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2022;10317
de-sh;Kiel;wirtschaft_arbeit;Arbeitslose;2023;10581
