Tabelle: 62361-0010
Reallohnindex, Nominallohnindex: Deutschland, Quartale;;;;;
Verdiensterhebung;;;;;
Deutschland;;;;;
;;Reallohnindex;Veränderung zum Vorjahresquartal;Nominallohnindex;Veränderung zum Vorjahresquartal
;;2022=100;in (%);2022=100;in (%)
2012;1. Quartal;91,5;0,1;75,7;2,2
;2. Quartal;98,3;0,6;81,6;2,5
;3. Quartal;91,8;1,0;76,6;3,0
;4. Quartal;104,1;0,7;87,2;2,7
2013;1. Quartal;91,4;-0,1;76,8;1,5
;2. Quartal;98,1;-0,2;82,7;1,3
;3. Quartal;91,5;-0,3;77,6;1,3
;4. Quartal;104,1;0,0;88,4;1,4
2014;1. Quartal;92,7;1,4;78,8;2,6
;2. Quartal;99,5;1,4;84,8;2,5
;3. Quartal;93,1;1,7;79,7;2,7
;4. Quartal;106,3;2,1;90,8;2,7
2015;1. Quartal;95,1;2,6;80,9;2,7
;2. Quartal;101,8;2,3;87,6;3,3
;3. Quartal;94,8;1,8;81,7;2,5
;4. Quartal;108,5;2,1;93,0;2,4
2016;1. Quartal;97,5;2,5;83,2;2,8
;2. Quartal;103,6;1,8;89,3;1,9
;3. Quartal;96,5;1,8;83,6;2,3
;4. Quartal;109,9;1,3;95,1;2,3
2017;1. Quartal;98,5;1,0;85,4;2,6
;2. Quartal;105,2;1,5;91,9;2,9
;3. Quartal;97,2;0,7;85,6;2,4
;4. Quartal;110,7;0,7;97,2;2,2
2018;1. Quartal;100,0;1,5;87,8;2,8
;2. Quartal;105,9;0,7;94,2;2,5
;3. Quartal;98,9;1,7;88,7;3,6
;4. Quartal;112,1;1,3;100,4;3,3
2019;1. Quartal;101,1;1,1;90,0;2,5
;2. Quartal;107,3;1,3;97,0;3,0
;3. Quartal;100,9;2,0;91,7;3,4
;4. Quartal;112,8;0,6;102,3;1,9
2020;1. Quartal;101,2;0,1;91,9;2,1
;2. Quartal;102,3;-4,7;93,2;-3,9
;3. Quartal;100,0;-0,9;90,5;-1,3
;4. Quartal;113,2;0,4;102,5;0,2
__________
© Statistisches Bundesamt (Destatis), 2024
Stand: 28.11.2024 / 13:14:24
