Jahr;Monate;Ankuenfte;Uebernachtungen
2011;Januar;188760;648143
;Februar;228729;712546
;März;314310;1024077
;April;538050;2007010
;Mai;589665;2156813
;Juni;777767;3092070
;Juli;908874;4373558
;August;822998;4116471
;September;630224;2460184
;Oktober;523923;2032140
;November;311907;992071
;Dezember;271548;834621
2012;Januar;200237;691347
;Februar;239827;764463
;März;355578;1161301
;April;499218;1920116
;Mai;676668;2491862
;Juni;687560;2752697
;Juli;864347;4140897
;August;880537;4150126
;September;640315;2492421
;Oktober;497148;1987828
;November;321290;1029799
;Dezember;277824;901555
2013;Januar;197391;686519
;Februar;246371;810663
;März;373292;1359752
;April;425566;1480218
;Mai;698532;2556394
;Juni;703230;2727144
;Juli;963277;4421298
;August;917897;4211282
;September;634217;2494002
;Oktober;534147;2063935
;November;335629;1058604
;Dezember;298074;936409
2014;Januar;217950;737949
;Februar;268924;871166
;März;352130;1189766
;April;554438;2064644
;Mai;675751;2391127
;Juni;793958;2991121
;Juli;956327;4198952
;August;986838;4795961
;September;682377;2717745
;Oktober;583771;2205424
;November;359782;1157366
;Dezember;325825;1026149
2015;Januar;227436;778546
;Februar;282437;926462
;März;409915;1365025
;April;529705;1929786
;Mai;763430;2729242
;Juni;758053;2880133
;Juli;1010376;4408772
;August;1023026;4784368
;September;686411;2714427
;Oktober;609720;2285457
;November;375409;1186883
;Dezember;355398;1093896
2016;Januar;245865;858715
;Februar;321172;1013616
;März;476687;1715851
;April;490831;1677583
;Mai;793441;2842846
;Juni;788407;2996312
;Juli;1065529;4648328
;August;982065;4681741
;September;784786;2955384
;Oktober;648274;2477889
;November;380327;1198475
;Dezember;374908;1137684
2017;Januar;264826;897577
;Februar;317453;1014518
;März;428573;1392254
;April;640026;2320500
;Mai;753521;2682742
;Juni;896995;3416039
;Juli;1100643;4828562
;August;994784;4795629
;September;830342;3217574
;Oktober;677910;2669133
;November;412819;1335705
;Dezember;417266;1321626
2018;Januar;291375;1004968
;Februar;352409;1167815
;März;542783;1932720
;April;598822;2193481
;Mai;970092;3676675
;Juni;981014;3811829
;Juli;1247752;5874375
;August;1118902;5395326
;September;887790;3597256
;Oktober;714564;2907416
;November;448193;1419396
;Dezember;441494;1471894
2019;Januar;304091;1056116
;Februar;376664;1205647
;März;508668;1707674
;April;762762;2926173
;Mai;891354;3318785
;Juni;1086638;4335688
;Juli;1244103;6044743
;August;1184768;5567222
;September;875331;3633060
;Oktober;773129;3138683
;November;456199;1480784
;Dezember;460123;1560219
2020;Januar;325980;1129233
;Februar;414127;1408128
;März;237668;958998
;April;28867;148793
;Mai;404870;1522840
;Juni;820867;3867643
;Juli;1070071;5709434
;August;1144363;5802579
;September;913446;4183912
;Oktober;736892;3419058
;November;76148;461976
;Dezember;44298;311727
