Tabelle: 61111-0006
Verbraucherpreisindex: Deutschland, Monate,;;;
Klassifikation der Verwendungszwecke des Individualkonsums;;;
(COICOP 2-/3-/4-/5-/10-Steller/Sonderpositionen);;;
Verbraucherpreisindex für Deutschland;;;
Deutschland;;;
Verbraucherpreisindex (2020=100);;;
;;Verwendungszwecke des Individualkonsums, 5-Steller;
;;CC13-01113 Brot und Brötchen;CC13-01114 Andere Backwaren
2012;Januar;.;.
;Februar;.;.
;März;.;.
;April;.;.
;Mai;.;.
;Juni;.;.
;Juli;.;.
;August;.;.
;September;.;.
;Oktober;.;.
;November;.;.
;Dezember;.;.
2013;Januar;.;.
;Februar;.;.
;März;.;.
;April;.;.
;Mai;.;.
;Juni;.;.
;Juli;.;.
;August;.;.
;September;.;.
;Oktober;.;.
;November;.;.
;Dezember;.;.
2014;Januar;.;.
;Februar;.;.
;März;.;.
;April;.;.
;Mai;.;.
;Juni;.;.
;Juli;.;.
;August;.;.
;September;.;.
;Oktober;.;.
;November;.;.
;Dezember;.;.
2015;Januar;91,7;95,0
;Februar;91,8;94,8
;März;91,9;95,2
;April;92,1;95,2
;Mai;92,1;95,1
;Juni;92,3;95,3
;Juli;92,4;95,3
;August;92,7;94,9
;September;92,7;94,8
;Oktober;92,7;94,9
;November;92,9;94,6
;Dezember;92,8;94,5
2016;Januar;93,0;94,5
;Februar;93,2;94,5
;März;93,3;94,5
;April;93,5;94,6
;Mai;93,7;94,4
;Juni;93,8;94,4
;Juli;93,7;94,3
;August;93,7;94,5
;September;94,0;94,9
;Oktober;93,9;94,4
;November;94,1;94,8
;Dezember;94,3;94,9
2017;Januar;94,3;94,7
;Februar;94,3;94,8
;März;94,3;94,8
;April;94,2;94,7
;Mai;94,4;95,0
;Juni;94,6;95,4
;Juli;94,8;94,9
;August;94,7;94,9
;September;94,8;95,0
;Oktober;95,1;95,1
;November;95,1;95,8
;Dezember;95,2;95,7
2018;Januar;95,4;96,1
;Februar;95,5;96,4
;März;95,2;96,2
;April;95,5;97,1
;Mai;95,3;97,2
;Juni;95,7;97,3
;Juli;95,7;96,6
;August;95,8;97,3
;September;96,1;97,2
;Oktober;96,1;97,8
;November;96,7;98,0
;Dezember;97,0;98,4
2019;Januar;97,2;98,5
;Februar;97,6;98,6
;März;97,8;98,9
;April;98,3;99,2
;Mai;98,5;99,1
;Juni;98,4;99,7
;Juli;98,8;99,8
;August;99,1;100,0
;September;99,1;100,1
;Oktober;99,1;100,2
;November;99,4;100,0
;Dezember;99,9;100,7
__________
© Statistisches Bundesamt (Destatis), 2024
Stand: 28.11.2024 / 13:33:51
