Jahr;Monat;Ankuenfte;Uebernachtungen
2011.0;Januar;188760;648143
2011.0;Februar;228729;712546
2011.0;März;314310;1024077
2011.0;April;538050;2007010
2011.0;Mai;589665;2156813
2011.0;Juni;777767;3092070
2011.0;Juli;908874;4373558
2011.0;August;822998;4116471
2011.0;September;630224;2460184
2011.0;Oktober;523923;2032140
2011.0;November;311907;992071
2011.0;Dezember;271548;834621
2012.0;Januar;200237;691347
2012.0;Februar;239827;764463
2012.0;März;355578;1161301
2012.0;April;499218;1920116
2012.0;Mai;676668;2491862
2012.0;Juni;687560;2752697
2012.0;Juli;864347;4140897
2012.0;August;880537;4150126
2012.0;September;640315;2492421
2012.0;Oktober;497148;1987828
2012.0;November;321290;1029799
2012.0;Dezember;277824;901555
2013.0;Januar;197391;686519
2013.0;Februar;246371;810663
2013.0;März;373292;1359752
2013.0;April;425566;1480218
2013.0;Mai;698532;2556394
2013.0;Juni;703230;2727144
2013.0;Juli;963277;4421298
2013.0;August;917897;4211282
2013.0;September;634217;2494002
2013.0;Oktober;534147;2063935
2013.0;November;335629;1058604
2013.0;Dezember;298074;936409
2014.0;Januar;217950;737949
2014.0;Februar;268924;871166
2014.0;März;352130;1189766
2014.0;April;554438;2064644
2014.0;Mai;675751;2391127
2014.0;Juni;793958;2991121
2014.0;Juli;956327;4198952
2014.0;August;986838;4795961
2014.0;September;682377;2717745
2014.0;Oktober;583771;2205424
2014.0;November;359782;1157366
2014.0;Dezember;325825;1026149
2015.0;Januar;227436;778546
2015.0;Februar;282437;926462
2015.0;März;409915;1365025
2015.0;April;529705;1929786
2015.0;Mai;763430;2729242
2015.0;Juni;758053;2880133
2015.0;Juli;1010376;4408772
2015.0;August;1023026;4784368
2015.0;September;686411;2714427
2015.0;Oktober;609720;2285457
2015.0;November;375409;1186883
2015.0;Dezember;355398;1093896
2016.0;Januar;245865;858715
2016.0;Februar;321172;1013616
2016.0;März;476687;1715851
2016.0;April;490831;1677583
2016.0;Mai;793441;2842846
2016.0;Juni;788407;2996312
2016.0;Juli;1065529;4648328
2016.0;August;982065;4681741
2016.0;September;784786;2955384
2016.0;Oktober;648274;2477889
2016.0;November;380327;1198475
2016.0;Dezember;374908;1137684
2017.0;Januar;264826;897577
2017.0;Februar;317453;1014518
2017.0;März;428573;1392254
2017.0;April;640026;2320500
2017.0;Mai;753521;2682742
2017.0;Juni;896995;3416039
2017.0;Juli;1100643;4828562
2017.0;August;994784;4795629
2017.0;September;830342;3217574
2017.0;Oktober;677910;2669133
2017.0;November;412819;1335705
2017.0;Dezember;417266;1321626
2018.0;Januar;291375;1004968
2018.0;Februar;352409;1167815
2018.0;März;542783;1932720
2018.0;April;598822;2193481
2018.0;Mai;970092;3676675
2018.0;Juni;981014;3811829
2018.0;Juli;1247752;5874375
2018.0;August;1118902;5395326
2018.0;September;887790;3597256
2018.0;Oktober;714564;2907416
2018.0;November;448193;1419396
2018.0;Dezember;441494;1471894
2019.0;Januar;304091;1056116
2019.0;Februar;376664;1205647
2019.0;März;508668;1707674
2019.0;April;762762;2926173
2019.0;Mai;891354;3318785
2019.0;Juni;1086638;4335688
2019.0;Juli;1244103;6044743
2019.0;August;1184768;5567222
2019.0;September;875331;3633060
2019.0;Oktober;773129;3138683
2019.0;November;456199;1480784
2019.0;Dezember;460123;1560219
2020.0;Januar;325980;1129233
2020.0;Februar;414127;1408128
2020.0;März;237668;958998
2020.0;April;28867;148793
2020.0;Mai;404870;1522840
2020.0;Juni;820867;3867643
2020.0;Juli;1070071;5709434
2020.0;August;1144363;5802579
2020.0;September;913446;4183912
2020.0;Oktober;736892;3419058
2020.0;November;76148;461976
2020.0;Dezember;44298;311727
