Datum,Warengruppe,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,rain_weather,snow_weather,Feiertag,Jahr,Season,Season_Temp_Category,Season_Temp_Fall_high,Season_Temp_Fall_low,Season_Temp_Fall_middle,Season_Temp_Fall_nan,Season_Temp_Spring_high,Season_Temp_Spring_low,Season_Temp_Spring_middle,Season_Temp_Summer_high,Season_Temp_Summer_low,Season_Temp_Summer_middle,Season_Temp_Winter_high,Season_Temp_Winter_low,Season_Temp_Winter_middle,Season_Temp_Winter_nan,Umsatz_predicted_one_week_ago,Wochentag,is_weekend,Warengruppe_1,Warengruppe_2,Warengruppe_3,Warengruppe_4,Warengruppe_5,Warengruppe_6
2013-07-01,1,148.828353112183,6.0,17.8375,15.0,20.0,0.0,0,0,0.0,,Summer,Summer_low,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,Monday,0,True,False,False,False,False,False
2013-07-02,1,159.79375714468,3.0,17.3125,10.0,,0.0,0,0,0.0,,Summer,Summer_low,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,Tuesday,0,True,False,False,False,False,False
2013-07-03,1,111.885593514353,7.0,21.075,6.0,61.0,0.0,1,0,0.0,,Summer,Summer_middle,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,Wednesday,0,True,False,False,False,False,False
2013-07-04,1,168.864940979931,7.0,18.85,7.0,20.0,0.0,0,0,0.0,,Summer,Summer_middle,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,Thursday,0,True,False,False,False,False,False
2013-07-05,1,171.280754117955,5.0,19.975,12.0,,0.0,0,0,0.0,,Summer,Summer_middle,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,Friday,0,True,False,False,False,False,False
2013-07-06,1,174.552359998476,0.0,18.9625,8.0,,0.0,0,0,0.0,,Summer,Summer_middle,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,Saturday,1,True,False,False,False,False,False
2013-07-07,1,92.6377553788373,0.0,21.375,9.0,,0.0,0,0,0.0,,Summer,Summer_middle,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,Sunday,1,True,False,False,False,False,False
2013-07-08,1,135.500244042392,0.0,22.725,10.0,5.0,0.0,0,0,0.0,,Summer,Summer_middle,False,False,False,False,False,False,False,False,False,True,False,False,False,False,148.828353112183,Monday,0,True,False,False,False,False,False
2013-07-09,1,136.048382778344,0.0,23.275,8.0,,0.0,0,0,0.0,,Summer,Summer_middle,False,False,False,False,False,False,False,False,False,True,False,False,False,False,159.79375714468,Tuesday,0,True,False,False,False,False,False
2013-07-10,1,135.132314289581,2.0,19.6875,13.0,5.0,0.0,0,0,0.0,,Summer,Summer_middle,False,False,False,False,False,False,False,False,False,True,False,False,False,False,111.885593514353,Wednesday,0,True,False,False,False,False,False
2013-07-11,1,138.549392636714,0.0,21.375,12.0,5.0,0.0,0,0,0.0,,Summer,Summer_middle,False,False,False,False,False,False,False,False,False,True,False,False,False,False,168.864940979931,Thursday,0,True,False,False,False,False,False
2013-07-12,1,101.447511461298,0.0,20.2875,7.0,,0.0,0,0,0.0,,Summer,Summer_middle,False,False,False,False,False,False,False,False,False,True,False,False,False,False,171.280754117955,Friday,0,True,False,False,False,False,False
2013-07-13,1,141.233309883732,1.0,20.125,12.0,,0.0,0,0,0.0,,Summer,Summer_middle,False,False,False,False,False,False,False,False,False,True,False,False,False,False,174.552359998476,Saturday,1,True,False,False,False,False,False
2013-07-14,1,112.524365708762,5.0,17.6875,15.0,5.0,0.0,0,0,0.0,,Summer,Summer_low,False,False,False,False,False,False,False,False,True,False,False,False,False,False,92.6377553788373,Sunday,1,True,False,False,False,False,False
2013-07-15,1,161.264677322182,6.0,18.7375,12.0,,0.0,0,0,0.0,,Summer,Summer_middle,False,False,False,False,False,False,False,False,False,True,False,False,False,False,135.500244042392,Monday,0,True,False,False,False,False,False
2013-07-16,1,116.821358174215,1.0,21.1875,10.0,,0.0,0,0,0.0,,Summer,Summer_middle,False,False,False,False,False,False,False,False,False,True,False,False,False,False,136.048382778344,Tuesday,0,True,False,False,False,False,False
2013-07-17,1,150.572919592838,5.0,22.5125,8.0,,0.0,0,0,0.0,,Summer,Summer_middle,False,False,False,False,False,False,False,False,False,True,False,False,False,False,135.132314289581,Wednesday,0,True,False,False,False,False,False
2013-07-18,1,101.90072129658,1.0,23.25,11.0,5.0,0.0,0,0,0.0,,Summer,Summer_middle,False,False,False,False,False,False,False,False,False,True,False,False,False,False,138.549392636714,Thursday,0,True,False,False,False,False,False
2013-07-19,1,161.63511518654,3.0,22.475,16.0,5.0,0.0,0,0,0.0,,Summer,Summer_middle,False,False,False,False,False,False,False,False,False,True,False,False,False,False,101.447511461298,Friday,0,True,False,False,False,False,False
2013-07-20,1,134.328076682024,0.0,23.1875,8.0,,0.0,0,0,0.0,,Summer,Summer_middle,False,False,False,False,False,False,False,False,False,True,False,False,False,False,141.233309883732,Saturday,1,True,False,False,False,False,False
2013-07-21,1,66.2887578161955,0.0,26.375,8.0,,0.0,0,0,0.0,,Summer,Summer_high,False,False,False,False,False,False,False,True,False,False,False,False,False,False,112.524365708762,Sunday,1,True,False,False,False,False,False
2013-07-22,1,131.223948997842,0.0,26.1,9.0,,0.0,0,0,0.0,,Summer,Summer_high,False,False,False,False,False,False,False,True,False,False,False,False,False,False,161.264677322182,Monday,0,True,False,False,False,False,False
2013-07-23,1,110.315246796665,0.0,24.95,12.0,,0.0,0,0,0.0,,Summer,Summer_high,False,False,False,False,False,False,False,True,False,False,False,False,False,False,116.821358174215,Tuesday,0,True,False,False,False,False,False
2013-07-24,1,141.891908195545,3.0,24.075,11.0,,0.0,0,0,0.0,,Summer,Summer_middle,False,False,False,False,False,False,False,False,False,True,False,False,False,False,150.572919592838,Wednesday,0,True,False,False,False,False,False
2013-07-25,1,167.701216640907,2.0,23.0875,9.0,,0.0,0,0,0.0,,Summer,Summer_middle,False,False,False,False,False,False,False,False,False,True,False,False,False,False,101.90072129658,Thursday,0,True,False,False,False,False,False
2013-07-26,1,147.272084366206,3.0,27.2625,6.0,,0.0,0,0,0.0,,Summer,Summer_high,False,False,False,False,False,False,False,True,False,False,False,False,False,False,161.63511518654,Friday,0,True,False,False,False,False,False
2013-07-27,1,161.403357795112,1.0,26.1625,10.0,,0.0,0,0,0.0,,Summer,Summer_high,False,False,False,False,False,False,False,True,False,False,False,False,False,False,134.328076682024,Saturday,1,True,False,False,False,False,False
2013-07-28,1,86.0791432446654,4.0,24.8875,13.0,61.0,0.0,1,0,0.0,,Summer,Summer_high,False,False,False,False,False,False,False,True,False,False,False,False,False,False,66.2887578161955,Sunday,1,True,False,False,False,False,False
2013-07-29,1,183.564164400591,1.0,22.7875,10.0,,0.0,0,0,0.0,,Summer,Summer_middle,False,False,False,False,False,False,False,False,False,True,False,False,False,False,131.223948997842,Monday,0,True,False,False,False,False,False
